iter	Passed	Remaining
0	0	85
1	1	91
2	2	88
3	3	78
4	4	78
5	4	77
6	5	76
7	6	74
8	7	72
9	7	70
10	8	69
11	9	67
12	9	66
13	10	65
14	11	64
15	12	63
16	12	62
17	13	62
18	14	61
19	15	61
20	16	60
21	17	60
22	17	59
23	18	59
24	19	58
25	20	57
26	20	56
27	21	55
28	22	55
29	23	54
30	24	54
31	25	53
32	26	52
33	26	52
34	27	51
35	28	50
36	29	49
37	30	49
38	30	48
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	34	42
45	35	41
46	36	41
47	37	40
48	38	39
49	38	38
50	39	38
51	40	37
52	41	36
53	42	36
54	42	34
55	43	34
56	44	33
57	44	32
58	45	31
59	46	30
60	47	30
61	47	29
62	48	28
63	49	27
64	50	27
65	51	26
66	51	25
67	52	24
68	52	23
69	53	23
70	54	22
71	55	21
72	55	20
73	56	19
74	57	19
75	57	18
76	58	17
77	59	16
78	59	15
79	60	15
80	61	14
81	62	13
82	62	12
83	63	12
84	64	11
85	65	10
86	65	9
87	66	9
88	67	8
89	67	7
90	68	6
91	69	6
92	70	5
93	70	4
94	71	3
95	72	3
96	72	2
97	73	1
98	74	0
99	74	0
